排出年,特定排出者コード,事業者・事業所名,区分,業種,所在地,温室効果ガス算定排出量(tCO2)
year,code,name,type,sector,location,tCO2
2023,580344185,株式会社ソフト９９コーポレーション,特定事業所排出者,化学工業,大阪府大阪市,4821
2023,880000271,旭有機材株式会社,特定荷主,プラスチック製品製造業（別掲を除く）,宮崎県延岡市,4802
2023,890212731,プリントネット株式会社,特定事業所排出者,印刷・同関連業,鹿児島県鹿児島市,4789
2023,515058252,株式会社カクヤス,特定貨物輸送事業者,飲食料品小売業,東京都北区,4783
2023,570004902,モリ工業株式会社,特定荷主,鉄鋼業,大阪府河内長野市,4775
2023,400324233,株式会社ジーフット,特定事業所排出者,織物・衣服・身の回り品小売業,東京都中央区,4773
2023,580375628,日本電子材料株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,兵庫県尼崎市,4748
2023,160012329,日東ベスト株式会社,特定荷主,食料品製造業,山形県寒河江市,4741
2023,400186709,大宝運輸株式会社,特定貨物輸送事業者,道路貨物運送業,愛知県名古屋市,4715
2023,985375345,大伸化学株式会社,特定荷主,化学工業,東京都港区,4654
2023,800035751,株式会社富士ピー・エス,特定事業所排出者,窯業・土石製品製造業,福岡県福岡市,4562
2023,270297922,株式会社アイダ設計,特定事業所排出者,不動産取引業,埼玉県さいたま市,4544
2023,985741302,藤倉化成株式会社,特定事業所排出者,化学工業,東京都港区,4543
2023,986327914,ＪＸ金属株式会社,特定荷主,非鉄金属製造業,東京都港区,4524
2023,450012038,株式会社トーカイ（岐阜県）,特定貨物輸送事業者,その他の教育，学習支援業,岐阜県岐阜市,4498
2023,985176600,株式会社クレハ,特定荷主,化学工業,東京都中央区,4492
2023,200315121,株式会社アルプス物流,特定事業所排出者,倉庫業,神奈川県横浜市,4469
2023,500057428,株式会社ニチダイ,特定事業所排出者,生産用機械器具製造業,京都府京田辺市,4461
2023,985335706,新電元工業株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,埼玉県朝霞市,4454
2023,500111451,株式会社京写,特定事業所排出者,電子部品・デバイス・電子回路製造業,京都府久御山町,4440
